cpdID,cpdName,feature,ion,purpose,IonID,Commentsformanualrevision,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,measuredMZ,ppmError,npcStandardID,npcFeatureID,sn1,sn2,logPRDKit,logPALOGPS,logPChemAxon,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGPathway,KEGGID,chemspiderID,PubChemID,IUPAC,CAS,ChEBIID,InChI,InChIKey,confidenceScore,MSIAnnotationLevel,complexityScore,urine,plasma,serum,breastMilk,gastric,dueodenal,faecal,liver,originalMatrix,annotatedBy,validationFiles,ISOriginalFiles
HPOS-001,Hydroxyisovaleroyl Carnitine CAR(5:0-OH),1,M+H,primary,HPOS-001.1,,313.1131566,5.218552609,262.16545,262.1615175,262.1693825,298.1131566,328.1131566,261.1576228,C12H23NO5,262.166,,FB04292977,UHPOS-02949,,,-3.3278,,,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0062555,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070073,NA,C02301,35797888,57357187,3-hydroxy-3-[(3-methylbutanoyl)oxy]-4-(trimethylazaniumyl)butanoate,,168980,"InChI=1S/C12H23NO5/c1-9(2)6-11(16)18-12(17,7-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",DHRNMNHPSWBJEN-UHFFFAOYSA-N,2a,1,3,X,,,,,,,,Urine,AA,AIRWAVE_HPOS_ToF07_U23W11_LTR;AIRWAVE_HPOS_ToF07_U23W23_LTR;AIRWAVE_HPOS_ToF07_U23W35_LTR;AIRWAVE_HPOS_ToF07_U23W12_SR;AIRWAVE_HPOS_ToF07_U23W24_SR;AIRWAVE_HPOS_ToF07_U23W36_SR,IS-22:221.57;IS-26:126.64;IS-27:102.28;IS-28:300.40;IS-30:351.18;IS-31:217.16;IS-32:153.84;IS-33:50.75
HPOS-001,Hydroxyisovaleroyl Carnitine CAR(5:0-OH),2,[(M+1)+H],range,HPOS-001.2,,313.1131566,5.218552609,263.16871,263.1647625,263.1726575,298.1131566,328.1131566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPOS-002,2-Octenoylcarnitine CAR(8:1),1,M+H,primary,HPOS-002.1,,250.1535892,4.2,286.20183,286.197537,286.206123,235.1535892,265.1535892,285.1940084,C15H27NO4,286.2001,,,UHPOS-02332,,,-2.4401,,,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0013324,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070035,NA,C02301,30776708,70679121,(4S)-4-[(2E)-oct-2-enoyloxy]-4-(trimethylazaniumyl)butanoate,,71012,"InChI=1S/C15H27NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h9-10,13H,5-8,11-12H2,1-4H3/b10-9+/t13-/m0/s1",LOSHAHDSFZXVCT-LXKVQUBZSA-N,4a,2,1,X,X,,,,,,,Urine,AA,AIRWAVE_HPOS_ToF07_U23W11_LTR;AIRWAVE_HPOS_ToF07_U23W23_LTR;AIRWAVE_HPOS_ToF07_U23W35_LTR;AIRWAVE_HPOS_ToF07_U23W12_SR;AIRWAVE_HPOS_ToF07_U23W24_SR;AIRWAVE_HPOS_ToF07_U23W36_SR,IS-22:221.57;IS-26:126.64;IS-27:102.28;IS-28:300.40;IS-30:351.18;IS-31:217.16;IS-32:153.84;IS-33:50.75
HPOS-002,2-Octenoylcarnitine CAR(8:1),2,[(M+1)+H],range,HPOS-002.2,,250.1535892,4.2,287.20512,287.2008119,287.2094281,235.1535892,265.1535892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPOS-002,2-Octenoylcarnitine CAR(8:1),3,[M-N(CH3)3+H],specificity,HPOS-002.3,,250.1535892,4.2,227.12833,227.1249231,227.1317369,235.1535892,265.1535892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPOS-003,Tetradecenoylcarnitine CAR(14:1),1,M+H,primary,HPOS-003.1,,228.948135,3.86,370.29573,370.2901756,370.3012844,213.948135,243.948135,369.2879087,C21H39NO4,370.2954,,FB04292655,UHPOS-EX004,,,NA,,,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],NA,NA,C02301,NA,NA,,,75659,NA,NA,2a,1,1,X,,,,,,,,Urine,AA,AIRWAVE_HPOS_ToF07_U23W11_LTR;AIRWAVE_HPOS_ToF07_U23W23_LTR;AIRWAVE_HPOS_ToF07_U23W35_LTR;AIRWAVE_HPOS_ToF07_U23W12_SR;AIRWAVE_HPOS_ToF07_U23W24_SR;AIRWAVE_HPOS_ToF07_U23W36_SR,IS-22:221.57;IS-26:126.64;IS-27:102.28;IS-28:300.40;IS-30:351.18;IS-31:217.16;IS-32:153.84;IS-33:50.75
HPOS-003,Tetradecenoylcarnitine CAR(14:1),2,[(M+1)+H],range,HPOS-003.2,,228.948135,3.86,371.29905,371.2934805,371.3046195,213.948135,243.948135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPOS-003,Tetradecenoylcarnitine CAR(14:1),3,[M+Na],specificity,HPOS-003.3,,228.948135,3.86,392.27768,392.2717958,392.2835642,213.948135,243.948135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPOS-004,L-Acetylcarnitine CAR(2:0),1,M+H,primary,HPOS-004.1,,304.3102694,5.03,204.12358,204.1205181,204.1266419,289.3102694,319.3102694,203.115758,C9H17NO4,204.1257,,FB01052155,UHPOS-02831,,,-3.3267,,,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000201,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070050,Fatty Acid Metabolism(Acyl Carnitine),C02571,5406074,7045767,3-(acetyloxy)-4-(trimethylazaniumyl)butanoate,,57589,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",RDHQFKQIGNGIED-MRVPVSSYSA-N,2a,1,1,X,X,,,,,,,Urine,AA,AIRWAVE_HPOS_ToF07_U23W11_LTR;AIRWAVE_HPOS_ToF07_U23W23_LTR;AIRWAVE_HPOS_ToF07_U23W35_LTR;AIRWAVE_HPOS_ToF07_U23W12_SR;AIRWAVE_HPOS_ToF07_U23W24_SR;AIRWAVE_HPOS_ToF07_U23W36_SR,IS-22:221.57;IS-26:126.64;IS-27:102.28;IS-28:300.40;IS-30:351.18;IS-31:217.16;IS-32:153.84;IS-33:50.75
HPOS-004,L-Acetylcarnitine CAR(2:0),2,[(M+1)+H],range,HPOS-004.2,,304.3102694,5.03,205.12679,205.1237131,205.1298669,289.3102694,319.3102694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
