cpdID,cpdName,feature,ion,purpose,IonID,Commentsformanualrevision,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,measuredMZ,ppmError,npcStandardID,npcFeatureID,sn1,sn2,logPALOGPS,logPChemAxon,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGPathway,KEGGID,chemspiderID,PubChemID,IUPAC,CAS,ChEBIID,InChI,InChIKey,confidenceScore,MSIAnnotationLevel,complexityScore,urine,plasma,serum,breastMilk,gastric,dueodenal,faecal,liver,originalMatrix,annotatedBy,validationFiles,ISOriginalFiles
LPOS-0001,Octanoylcarnitine CAR(8:0),1,[M+H]+,primary,LPOS-0001.1,na,27.72,0.462,288.2169349,288.2126116,288.2212581,12.72,42.72,287.2096584,C15H29NO4,288.2174508,1.790017646,FB01052337,PLPOS-00012,na,na,-1.2,-1.5,-1.4254,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000791,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070095,na,C02301,10128115,11953814,(3R)-3-(octanoyloxy)-4-(trimethylazaniumyl)butanoate,25243-95-2,75659,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/p+1/t13-/m1/s1",CXTATJFJDMJMIY-UHFFFAOYSA-N,2A,1,1,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0002,Decanoylcarnitine CAR(10:0),1,[M+H]+,primary,LPOS-0002.1,na,36.54,0.609,316.248235,316.2434913,316.2529787,21.54,51.54,315.2409585,C17H33NO4,316.2489975,2.41120894,FB01052102,PLPOS-00066,na,na,-0.85,-0.63,-2.1739,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000651,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070059,na,C02301,8420677,10245190,3-(decanoyloxy)-4-(trimethylazaniumyl)butanoate,1492-27-9,68830,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3",LZOSYCMHQXPBFU-UHFFFAOYSA-N,2A,1,1,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0003,Hydroxydecanoylcarnitine CAR(10:0-OH),1,[M+H]+,primary,LPOS-0003.1,na,29.28,0.488,332.2431496,332.238166,332.2481333,14.28,44.28,331.2358732,C17H33NO5,332.2439748,2.483739322,na,PLPOS-00018,na,na,na,na,na,Fatty Acyls,Fatty acid esters,Acyl carnitines,na,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],na,na,C02301,na,na,na,na,75659,na,na,4A,2,1,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0004,Decenoylcarnitine CAR(10:1),1,[M+H]+,primary,LPOS-0004.1,na,31.86,0.531,314.2325849,314.2278714,314.2372984,16.86,46.86,313.2253085,C17H31NO4,314.2332397,2.083861013,na,PLPOS-00039,na,na,na,na,na,Fatty Acyls,Fatty acid esters,Acyl carnitines,na,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],na,na,C02301,na,na,na,na,75659,na,na,4A,2,1,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0005,Decadienoylcarnitine CAR(10:2),1,[M+H]+,primary,LPOS-0005.1,na,28.14,0.469,312.2169349,312.2122516,312.2216181,13.14,43.14,311.2096584,C17H29NO4,312.2167684,0.533077635,na,PLPOS-00015,na,na,na,na,na,Fatty Acyls,Fatty acid esters,Acyl carnitines,na,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],na,na,C02301,na,na,na,na,75659,na,na,4A,2,1,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0006,Lauroylcarnitine CAR(12:0),1,[M+H]+,primary,LPOS-0006.1,na,52.56,0.876,344.2795351,344.2743709,344.2846993,37.56,67.56,343.2722587,C19H37NO4,344.2803882,2.477752626,FB01052206,PLPOS-00152,na,na,0.03,0.26,-1.8857,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0002250,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070062,na,C02301,147288,168381,(3R)-3-(dodecanoyloxy)-4-(trimethylazaniumyl)butanoate,25518-54-1,77086,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1",FUJLYHJROOYKRA-QGZVFWFLSA-N,2A,1,2,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0007,Hydroxydodecanoylcarnitine CAR(12:0-OH),1,[M+H]+,primary,LPOS-0007.1,na,40.02,0.667,360.2744497,360.2690456,360.2798539,25.02,55.02,359.2671733,C19H37NO5,360.2744197,0.083485491,na,PLPOS-00075,na,na,na,na,na,Fatty Acyls,Fatty acid esters,Acyl carnitines,na,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],na,na,C02301,na,na,na,na,75659,na,na,4A,2,1,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0008,Dodecenoylcarnitine CAR(12:1)_1,1,[M+H]+,primary,LPOS-0008.1,na,43.26,0.721,342.2638851,342.2587511,342.269019,28.26,58.26,341.2566086,C19H35NO4,342.2644813,1.741931363,na,PLPOS-00083,na,na,na,na,na,Fatty Acyls,Fatty acid esters,Acyl carnitines,na,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],na,na,C02301,na,na,na,na,75659,na,na,4A,2,2,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0009,Dodecenoylcarnitine CAR(12:1)_2,1,[M+H]+,primary,LPOS-0009.1,na,46.92,0.782,342.2638851,342.2587511,342.269019,31.92,61.92,341.2566086,C19H35NO4,342.2642207,0.980705944,na,PLPOS-00091,na,na,na,na,na,Fatty Acyls,Fatty acid esters,Acyl carnitines,na,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],na,na,C02301,na,na,na,na,75659,na,na,4A,2,2,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
LPOS-0010,Hydroxydodecenoylcarnitine CAR(12:1-OH),1,[M+H]+,primary,LPOS-0010.1,na,33.6,0.56,358.2587997,358.2534258,358.2641736,18.6,48.6,357.2515232,C19H35NO5,358.258491,0.861678143,na,PLPOS-00058,na,na,na,na,na,Fatty Acyls,Fatty acid esters,Acyl carnitines,na,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],na,na,C02301,na,na,na,na,75659,na,na,4A,2,1,X,,,,,,,Plasma,SC,AIRWAVE2_LPOS_ToF05_P8W11_LTR;AIRWAVE2_LPOS_ToF05_P8W23_LTR;AIRWAVE2_LPOS_ToF05_P8W35_LTR;AIRWAVE2_LPOS_ToF05_P8W12_SR;AIRWAVE2_LPOS_ToF05_P8W24_SR;AIRWAVE2_LPOS_ToF05_P8W36_SR,,
