cpdID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,ChEBIID,InChI,InChIKey,MSIAnnotationLevel
HPOS-001,Hydroxyisovaleroyl Carnitine CAR(5:0-OH),1,M+H,HPOS-001.1,313.1131566,5.218552609,262.16545,262.1615175,262.1693825,298.1131566,328.1131566,261.1576228,C12H23NO5,-3.3278,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0062555,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070073,C02301,35797888,57357187,168980,"InChI=1S/C12H23NO5/c1-9(2)6-11(16)18-12(17,7-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",DHRNMNHPSWBJEN-UHFFFAOYSA-N,1
HPOS-002,2-Octenoylcarnitine CAR(8:1),1,M+H,HPOS-002.1,250.1535892,4.2,286.20183,286.197537,286.206123,235.1535892,265.1535892,285.1940084,C15H27NO4,-2.4401,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0013324,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070035,C02301,30776708,70679121,71012,"InChI=1S/C15H27NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h9-10,13H,5-8,11-12H2,1-4H3/b10-9+/t13-/m0/s1",LOSHAHDSFZXVCT-LXKVQUBZSA-N,2
HPOS-003,Tetradecenoylcarnitine CAR(14:1),1,M+H,HPOS-003.1,228.948135,3.86,370.29573,370.2901756,370.3012844,213.948135,243.948135,369.2879087,C21H39NO4,NA,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],NA,C02301,NA,NA,75659,NA,NA,1
HPOS-004,L-Acetylcarnitine CAR(2:0),1,M+H,HPOS-004.1,304.3102694,5.03,204.12358,204.1205181,204.1266419,289.3102694,319.3102694,203.115758,C9H17NO4,-3.3267,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000201,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070050,C02571,5406074,7045767,57589,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",RDHQFKQIGNGIED-MRVPVSSYSA-N,1
HPOS-005,Adenosine,1,M+H,HPOS-005.1,104.414473,1.75,268.10458,268.1005584,268.1086016,89.41447297,119.414473,267.0967539,C10H13N5O4,-2.5893,Purine nucleosides,,Purine nucleosides,HMDB0000050,,,,NA,C00212,54923,60961,16335,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N,1
HPOS-006,Symmetric | Asymmetric Dimethylarginine,1,M+H,HPOS-006.1,358.2394827,5.913,203.1508,203.1477527,203.1538473,343.2394827,373.2394827,202.1429758,C8H18N4O2,-1.02670 | 0.73553,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Arginine and derivatives,HMDB0003334 | HMDB0001539,,,,NA,NA | C03626,147942 | 110375,169148 | 123831,25682 | 17929,"InChI=1S/C8H18N4O2/c1-10-8(11-2)12-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H,13,14)(H2,10,11,12)/t6-/m0/s1 | InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1",HVPFXCBJHIIJGS-LURJTMIESA-N | YDGMGEXADBMOMJ-LURJTMIESA-N,1
HPOS-007,Choline,1,M+H,HPOS-007.1,236.3599474,3.97,104.10754,104.1059784,104.1091016,221.3599474,251.3599474,104.1075391,C5H14NO,-1.6464,Organonitrogen compounds,Quaternary ammonium salts,Cholines,HMDB0000097,,,,NA,C00114,299,305,15354,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N,1
HPOS-008,Carnitine,1,M+H,HPOS-008.1,320.2599288,5.32,162.11302,162.1105883,162.1154517,305.2599288,335.2599288,161.1051934,C7H15NO3,-3.2608,Organonitrogen compounds,Quaternary ammonium salts,Carnitines,HMDB0000062,,,,NA,C00318,282,10917,16347,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",PHIQHXFUZVPYII-ZCFIWIBFSA-N,1
HPOS-009,Decanoylcarnitine CAR(10:0),1,M+H,HPOS-009.1,240.0999291,3.92,316.24878,316.2440363,316.2535237,225.0999291,255.0999291,315.2409585,C17H33NO4,-2.1739,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000651,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070059,C02301,8420677,11953821,68830,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3",LZOSYCMHQXPBFU-UHFFFAOYSA-N,1
HPOS-010,Hexanoylcarnitine CAR(6:0),1,M+H,HPOS-010.1,260.1910956,4.33651826,260.18618,260.1822772,260.1900828,245.1910956,275.1910956,259.1783583,C13H25NO4,-2.7503,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000705,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070001,C02301,2497478,3246938,84834,"InChI=1S/C13H25NO4/c1-5-6-7-8-13(17)18-11(9-12(15)16)10-14(2,3)4/h11H,5-10H2,1-4H3/t11-/m1/s1",VVPRQWTYSNDTEA-LLVKDONJSA-N,1
