CompoundID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,IUPAC,InChI,InChIKey,MSIAnnotationLevel
BANEG-0001,Ursocholanic acid,1,[M-H]-,BANEG-0001.1,699,11.65,359.295554,359.2901646,359.3009435,669,729,360.3028305,C24H40O2,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,92803,,,RPKLZQLYODPWTM-LVVAJZGHSA-N,
BANEG-0002,Lithocholenic acid,1,[M-H]-,BANEG-0002.1,639.9,10.665,373.2748186,373.2692195,373.2804178,609.9,669.9,374.2820951,C24H38O3,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,5283972,,,FEGCPHIPSRBREU-HVATVPOCSA-N,
BANEG-0003,5-Cholenic acid-3-beta-ol,1,[M-H]-,BANEG-0003.1,609.9,10.165,373.2748186,373.2692195,373.2804178,579.9,639.9,374.2820951,C24H38O3,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,24892512,,,HIAJCGFYHIANNA-QIZZZRFXSA-N,
BANEG-0004,3-Ketocholanic acid,1,[M-H]-,BANEG-0004.1,642,10.7,373.2748186,373.2692195,373.2804178,612,672,374.2820951,C24H38O3,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,10068031,,,KIQFUORWRVZTHT-OPTMKGCMSA-N,
BANEG-0005,Lithocholic acid,1,[M-H]-,BANEG-0005.1,650.1,10.835,375.2904686,375.2848393,375.296098,620.1,680.1,376.2977451,C24H40O3,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000761,,,,,,,9903,,,SMEROWZSTRWXGI-HVATVPOCSA-N,
BANEG-0006,Isolithocholic acid,1,[M-H]-,BANEG-0006.1,629.4,10.49,375.2904686,375.2848393,375.296098,599.4,659.4,376.2977451,C24H40O3,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000717,,,,,,,164853,,,SMEROWZSTRWXGI-WFVDQZAMSA-N,
BANEG-0007,Isoallolithocholic acid,1,[M-H]-,BANEG-0007.1,621,10.35,375.2904686,375.2848393,375.296098,591,651,376.2977451,C24H40O3,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000381,,,,,,,5283803,,,SMEROWZSTRWXGI-XBESLWPFSA-N,
BANEG-0008,"3-alpha,12-alpha, 23-Nordeoxycholic acid",1,[M-H]-,BANEG-0008.1,572.1,9.535,377.2697332,377.2640742,377.2753923,535.8,608.4,378.2770097,C23H38O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,193905,,,PLRQOCVIINWCFA-AHFDLSHQSA-N,
BANEG-0009,"9(11), (5-beta)-Cholenic acid-3-alpha-ol-12-one",1,[M-H]-,BANEG-0009.1,487.8,8.13,387.2540831,387.2482743,387.259892,453.6,522,388.2613596,C24H36O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,RMEZJKHOZLUOHB-OZEXFWQTSA-N,
BANEG-0010,"5-alpha-Cholanic acid-3, 6-dione",1,[M-H]-,BANEG-0010.1,465.3,7.755,387.2540831,387.2482743,387.259892,431.4,499.2,388.2613596,C24H36O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,AWINBLVINXVKTE-DLKBGQMWSA-N,
