CompoundID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,IUPAC,InChI,InChIKey,MSIAnnotationLevel
HPOS-0001,Hydroxyisovaleroylcarnitine CAR(5:0-OH),1,[M+H]+,HPOS-0001.1,313.1,5.219,262.1648993,262.1609668,262.1688317,298.1,328.1,261.1576228,C12H23NO5,-3.3278,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0062555,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070073,C02301,35797888,57357187,3-hydroxy-3-[(3-methylbutanoyl)oxy]-4-(trimethylazaniumyl)butanoate,"InChI=1S/C12H23NO5/c1-9(2)6-11(16)18-12(17,7-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",DHRNMNHPSWBJEN-UHFFFAOYSA-N,1
HPOS-0002,Octenoylcarnitine CAR(8:1),1,[M+H]+,HPOS-0002.1,250.2,4.2,286.2012849,286.1969918,286.2055779,235.2,265.2,285.1940084,C15H27NO4,NA,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],NA,C02301,NA,NA,NA,NA,NA,2
HPOS-0003,Tetradecenoylcarnitine CAR(14:1),1,[M+H]+,HPOS-0003.1,228.9,3.86,370.2951852,370.2896307,370.3007396,213.9,243.9,369.2879087,C21H39NO4,NA,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],NA,C02301,NA,NA,,NA,NA,1
HPOS-0004,L-Acetylcarnitine CAR(2:0),1,[M+H]+,HPOS-0004.1,304.3,5.03,204.1230345,204.1199726,204.1260963,289.3,319.3,203.115758,C9H17NO4,-3.3267,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000201,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070050,C02571,5406074,7045767,3-(acetyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",RDHQFKQIGNGIED-MRVPVSSYSA-N,1
HPOS-0005,Adenosine,1,[M+H]+,HPOS-0005.1,104.4,1.75,268.1040304,268.1000088,268.1080519,89.4,119.4,267.0967539,C10H13N5O4,-2.5893,Purine nucleosides,NA,Purine nucleosides,HMDB0000050,,,,NA,C00212,54923,60961,"(2R,3R,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N,1
HPOS-0006,Symmetric dimethylarginine | Asymmetric dimethylarginine,1,[M+H]+,HPOS-0006.1,358.2,5.913,203.1502523,203.147205,203.1532995,343.2,373.2,202.1429758,C8H18N4O2,-1.02670 | 0.73553,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Arginine and derivatives,HMDB0003334 | HMDB0001539,,,,NA,NA | C03626,147942 | 110375,169148 | 123831,"(2S)-2-amino-5-[(E)-N',N''-dimethylcarbamimidamido]pentanoicacid | (2S)-2-amino-5-[(E)-[amino(dimethylamino)methylidene]amino]pentanoicacid","InChI=1S/C8H18N4O2/c1-10-8(11-2)12-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H,13,14)(H2,10,11,12)/t6-/m0/s1 | InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1",HVPFXCBJHIIJGS-LURJTMIESA-N | YDGMGEXADBMOMJ-LURJTMIESA-N,1
HPOS-0007,Choline,1,[M]+,HPOS-0007.1,236.4,3.97,104.1069905,104.1054289,104.1085521,221.4,251.4,104.1075391,C5H14NO,-1.6464,Organonitrogen compounds,Quaternary ammonium salts,Cholines,HMDB0000097,,,,NA,C00114,299,305,(2-hydroxyethyl)trimethylazanium,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N,1
HPOS-0008,Carnitine,1,[M+H]+,HPOS-0008.1,320.3,5.32,162.1124699,162.1100382,162.1149015,305.3,335.3,161.1051934,C7H15NO3,-3.2608,Organonitrogen compounds,Quaternary ammonium salts,Carnitines,HMDB0000062,,,,NA,C00318,282,10917,3-hydroxy-4-(trimethylazaniumyl)butanoate,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",PHIQHXFUZVPYII-ZCFIWIBFSA-N,1
HPOS-0009,Decanoylcarnitine CAR(10:0),1,[M+H]+,HPOS-0009.1,240.1,3.92,316.248235,316.2434912,316.2529787,225.1,255.1,315.2409585,C17H33NO4,-2.1739,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000651,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070059,C02301,8420677,11953821,3-(decanoyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3",LZOSYCMHQXPBFU-UHFFFAOYSA-N,1
HPOS-0010,Hexanoylcarnitine CAR(6:0),1,[M+H]+,HPOS-0010.1,260.2,4.337,260.1856348,260.181732,260.1895375,245.2,275.2,259.1783583,C13H25NO4,-2.7503,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000756,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070001,C02301,2497478,3246938,3-(hexanoyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C13H25NO4/c1-5-6-7-8-13(17)18-11(9-12(15)16)10-14(2,3)4/h11H,5-10H2,1-4H3/t11-/m1/s1",VVPRQWTYSNDTEA-LLVKDONJSA-N,1
