CompoundID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,IUPAC,InChI,InChIKey,MSIAnnotationLevel
RNEG-0001,"1,3,7-Trimethyluric acid",1,[M-H]-,RNEG-0001.1,176.94,2.949,209.0680137,209.0648777,209.0711498,161.94,191.94,210.0752902,C8H10N4O3,-2.163,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0002123,,,,NA,C16361,71754,79437,"1,3,7-trimethyl-2,3,6,7,8,9-hexahydro-1H-purine-2,6,8-trione","InChI=1S/C8H10N4O3/c1-10-4-5(9-7(10)14)11(2)8(15)12(3)6(4)13/h1-3H3,(H,9,14)",BYXCFUMGEBZDDI-UHFFFAOYSA-N,1
RNEG-0002,"1,7-Dimethyluric acid",1,[M-H]-,RNEG-0002.1,154.14,2.569,195.0523636,195.0494379,195.0552894,139.14,169.14,196.0596401,C7H8N4O3,-1.1244,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0011103,,,,NA,C16356,82720,91611,"1,7-dimethyl-2,3,6,7,8,9-hexahydro-1H-purine-2,6,8-trione","InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)",NOFNCLGCUJJPKU-UHFFFAOYSA-N,1
RNEG-0003,"2,6-Dihydroxybenzoic acid",1,[M-H]-,RNEG-0003.1,225.6,3.76,153.0193322,153.017037,153.0216275,210.6,240.6,154.0266087,C7H6O4,0.6644,Benzene and substituted derivatives,Benzoic acids and derivatives,Salicylic acids,HMDB0013676,,,,NA,C21298,8974,9338,"2,6-dihydroxybenzoic acid","InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)",AKEUNCKRJATALU-UHFFFAOYSA-N,1
RNEG-0004,2-Hydroxy-2-methylbutyric acid,1,[M-H]-,RNEG-0004.1,146.88,2.448,117.0557177,117.0539619,117.0574736,131.88,161.88,118.0629942,C5H10O3,-0.7823,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,HMDB0001987,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],LMFA01050389,NA,86129,95433,2-hydroxy-2-methylbutanoic acid,"InChI=1S/C5H10O3/c1-3-5(2,8)4(6)7/h8H,3H2,1-2H3,(H,6,7)",MBIQENSCDNJOIY-UHFFFAOYSA-N,1
RNEG-0005,Salicyluric acid,1,[M-H]-,RNEG-0005.1,263.28,4.388,194.0458813,194.0429707,194.048792,248.28,278.28,195.0531578,C9H9NO4,-0.2849,Benzene and substituted derivatives,Benzoic acids and derivatives,Hippuric acids,HMDB0000840,,,,NA,C07588,9835,10253,2-[(2-hydroxyphenyl)formamido]acetic acid,"InChI=1S/C9H9NO4/c11-7-4-2-1-3-6(7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)",ONJSZLXSECQROL-UHFFFAOYSA-N,1
RNEG-0006,"3,5-Dihydroxybenzoic acid",1,[M-H]-,RNEG-0006.1,141,2.35,153.0193322,153.017037,153.0216275,126,156,154.0266087,C7H6O4,0.6644,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,HMDB0013677,,,,NA,NA,7146,7424,"3,5-dihydroxybenzoic acid","InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)",UYEMGAFJOZZIFP-UHFFFAOYSA-N,1
RNEG-0007,3-Methylglutaric acid,1,[M-H]-,RNEG-0007.1,159.72,2.662,145.0506323,145.0484566,145.0528081,144.72,174.72,146.0579088,C6H10O4,-1.0081,Fatty Acyls,Fatty acids and conjugates,Methyl-branched fatty acids,HMDB0000752,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],LMFA01170117,NA,11781,12284,3-methylpentanedioic acid,"InChI=1S/C6H10O4/c1-4(2-5(7)8)3-6(9)10/h4H,2-3H2,1H3,(H,7,8)(H,9,10)",XJMMNTGIMDZPMU-UHFFFAOYSA-N,1
RNEG-0008,Adipic acid,1,[M-H]-,RNEG-0008.1,155.46,2.591,145.0506323,145.0484566,145.0528081,140.46,170.46,146.0579088,C6H10O4,-0.864,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,HMDB0000448,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],LMFA01170048,C06104,191,196,hexanedioic acid,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,1
RNEG-0009,Azelaic acid,1,[M-H]-,RNEG-0009.1,328.86,5.481,187.0975825,187.0947761,187.100389,313.86,343.86,188.104859,C9H16O4,-0.4317,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,HMDB0000784,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],LMFA01170054,C08261,2179,2266,nonanedioic acid,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N,1
RNEG-0010,Cholic acid | Ursocholic acid,1,[M-H]-,RNEG-0010.1,584.94,9.749,407.2802979,407.2741887,407.2864072,569.94,599.94,408.2875744,C24H40O5,-0.4742,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",HMDB0000619 | HMDB0000917,Sterols [ST],Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",LMST04010001 | LMST04010088,C00695 | C17644,4573890 | 109088,221493 | 122340,,"InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1 | InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19+,20+,22+,23+,24-/m1/s1",BHQCQFFYRZLCQQ-OELDTZBJSA-N | BHQCQFFYRZLCQQ-UTLSPDKDSA-N,1
RNEG-0011,Indolelactic acid,1,[M-H]-,RNEG-0011.1,291.84,4.864,204.0666167,204.0635557,204.0696777,276.84,306.84,205.0738932,C11H11NO3,-0.0726,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,HMDB0000671,,,,NA,C02043,83867,92904,2-hydroxy-3-(1H-indol-3-yl)propanoic acid,"InChI=1S/C11H11NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,10,12-13H,5H2,(H,14,15)/t10-/m0/s1",XGILAAMKEQUXLS-JTQLQIEISA-N,1
RNEG-0012,4-Hydroxyphenyllactic acid,1,[M-H]-,RNEG-0012.1,168.72,2.812,181.0506323,181.0479166,181.0533481,153.72,183.72,182.0579088,C9H10O4,-0.2434,Phenylpropanoic acids,NA,Phenylpropanoic acids,HMDB0000755,,,,NA,C03672,10807549,9378,2-hydroxy-3-(4-hydroxyphenyl)propanoic acid,"InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)",JVGVDSSUAVXRDY-UHFFFAOYSA-N,1
RNEG-0013,"2,5-Dihydroxybenzoic acid",1,[M-H]-,RNEG-0013.1,189.66,3.161,153.0193322,153.017037,153.0216275,174.66,204.66,154.0266087,C7H6O4,0.6644,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,HMDB0000152,,,,NA,C00628,3350,3469,"2,5-dihydroxybenzoic acid","InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)",WXTMDXOMEHJXQO-UHFFFAOYSA-N,1
RNEG-0014,Guanosine,1,[M-H]-,RNEG-0014.1,85.5,1.425,282.0843921,282.0801609,282.0886234,70.5,100.5,283.0916686,C10H13N5O5,-2.66263,Purine nucleosides,NA,Purine nucleosides,HMDB0000133,,,,NA,C00387,6544,135398635,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-6,9-dihydro-1H-purin-6-one","InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N,1
RNEG-0015,Histidine,1,[M-H]-,RNEG-0015.1,30.9,0.515,154.0622,154.0598891,154.064511,15.9,45.9,155.0694765,C6H9N3O2,-2.1915,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Histidine and derivatives,HMDB0000177,,,,NA,C00135,6038,6274,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",HNDVDQJCIGZPNO-YFKPBYRVSA-N,1
RNEG-0016,Hypoxanthine,1,[M-H]-,RNEG-0016.1,71.94,1.199,135.0312343,135.0292089,135.0332598,56.94,86.94,136.0385108,C5H4N4O,-0.134,Imidazopyrimidines,Purines and purine derivatives,Hypoxanthines,HMDB0000157,,,,NA,C00262,768,135398638,7H-purin-6-ol,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",FDGQSTZJBFJUBT-UHFFFAOYSA-N,1
RNEG-0017,Ibuprofen acyl glucuronide,1,[M-H]-,RNEG-0017.1,517.38,8.623,381.1554913,381.149774,381.1612087,502.38,532.38,382.1627678,C19H26O8,-1.7769,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,O-glucuronides,HMDB0060919,,,,NA,NA,143793,163959,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-({2-[4-(2-methylpropyl)phenyl]propanoyl}oxy)oxane-2-carboxylic acid","InChI=1S/C19H26O8/c1-9(2)8-11-4-6-12(7-5-11)10(3)18(25)27-19-15(22)13(20)14(21)16(26-19)17(23)24/h4-7,9-10,13-16,19-22H,8H2,1-3H3,(H,23,24)/t10-,13-,14-,15+,16-,19-/m0/s1",ABOLXXZAJIAUGR-LEBSGKMFSA-N,1
