CompoundID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,IUPAC,InChI,InChIKey,MSIAnnotationLevel
RPOS-0001,Xanthurenic acid,1,[M+H]+,RPOS-0001.1,167.88,2.798,206.0447842,206.0416935,206.0478748,152.88,182.88,205.0375077,C10H7NO4,1.0896,Quinolines and derivatives,Quinoline carboxylic acids,Quinoline carboxylic acids,HMDB0000881,,,,,C02470,5497,5699,"4,8-dihydroxyquinoline-2-carboxylic acid","InChI=1S/C10H7NO4/c12-7-3-1-2-5-8(13)4-6(10(14)15)11-9(5)7/h1-4,12H,(H,11,13)(H,14,15)",FBZONXHGGPHHIY-UHFFFAOYSA-N,1
RPOS-0002,Urocanic acid,1,[M+H]+,RPOS-0002.1,57.54,0.959,139.0502039,139.0481181,139.0522896,42.54,72.54,138.0429274,C6H6N2O2,-0.4967,Azoles,Imidazoles,Imidazolyl carboxylic acids and derivatives,HMDB0000301,,,,,C00785,643824,736715,,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+",LOIYMIARKYCTBW-OWOJBTEDSA-N,1
RPOS-0004,Trigonelline,1,[M+H]+,RPOS-0004.1,37.26,0.621,138.054955,138.0528841,138.0570258,22.26,52.26,137.0476785,C7H7NO2,-1.9864,NA,NA,Alkaloids and derivatives,HMDB0000875,,,,,C01004,5369,5570,1-methylpyridin-1-ium-3-carboxylate,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",WWNNZCOKKKDOPX-UHFFFAOYSA-N,1
RPOS-0005,Theobromine,1,[M+H]+,RPOS-0005.1,145.14,2.419,181.072002,181.0692859,181.074718,130.14,160.14,180.0647255,C7H8N4O2,-1.2207,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0002825,,,,,C07480,5236,5429,"3,7-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione","InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)",YAPQBXQYLJRXSA-UHFFFAOYSA-N,1
RPOS-0006,S-Adenosylhomocysteine,1,[M+H]+,RPOS-0006.1,84.24,1.404,385.128865,385.123088,385.1346419,69.24,99.24,384.1215885,C14H20N6O5S,-3.6555,5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,5'-deoxy-5'-thionucleosides,HMDB0000939,,,,,C00021,388301,439155,"(2S)-2-amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl}sulfanyl)butanoic acid","InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",ZJUKTBDSGOFHSH-WFMPWKQPSA-N,1
RPOS-0007,Pyridoxine,1,[M+H]+,RPOS-0007.1,75.96,1.266,170.0811697,170.0786184,170.0837209,60.96,90.96,169.0738932,C8H11NO3,-0.10068,Pyridines and derivatives,Pyridoxines,Pyridoxines,HMDB0000239,,,,,C00314,1025,1054,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol","InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",LXNHXLLTXMVWPM-UHFFFAOYSA-N,1
RPOS-0008,Pseudouridine,1,[M+H]+,RPOS-0008.1,56.94,0.949,245.0768126,245.0731364,245.0804887,41.94,71.94,244.0695361,C9H12N2O6,-1.4807,Nucleoside and nucleotide analogues,NA,Nucleoside and nucleotide analogues,HMDB0000767,,,,,C02067,14319,15047,"5-[(2S,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione","InChI=1S/C9H12N2O6/c12-2-4-5(13)6(14)7(17-4)3-1-10-9(16)11-8(3)15/h1,4-7,12-14H,2H2,(H2,10,11,15,16)/t4-,5-,6-,7+/m1/s1",PTJWIQPHWPFNBW-GBNDHIKLSA-N,1
RPOS-0009,L-prolyl-L-proline,1,[M+H]+,RPOS-0009.1,85.98,1.433,213.1233689,213.120172,213.1265657,70.98,100.98,212.1160924,C10H16N2O3,-2.4202,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,HMDB0011180,,,,,NA,9797341,11622593,1-(pyrrolidine-2-carbonyl)pyrrolidine-2-carboxylic acid,"InChI=1S/C10H16N2O3/c13-9(7-3-1-5-11-7)12-6-2-4-8(12)10(14)15/h7-8,11H,1-6H2,(H,14,15)/t7-,8-/m0/s1",RWCOTTLHDJWHRS-YUMQZZPRSA-N,1
RPOS-0010,Propionylcarnitine CAR(3:0),1,[M+H]+,RPOS-0010.1,98.28,1.638,218.1386846,218.1354125,218.1419566,83.28,113.28,217.1314081,C10H19NO4,-3.1826,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000824,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070005,C03017,96904,107738,3-(propanoyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/t8-/m1/s1",UFAHZIUFPNSHSL-MRVPVSSYSA-N,1
RPOS-0011,Proline betaine,1,[M+H]+,RPOS-0011.1,41.04,0.684,144.1019052,144.0997436,144.1040667,26.04,56.04,143.0946287,C7H13NO2,-2.6239,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Proline and derivatives,HMDB0004827,,,,,C10172,103115,115244,"(2S)-1,1-dimethylpyrrolidin-1-ium-2-carboxylate","InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1",CMUNUTVVOOHQPW-LURJTMIESA-N,1
