cpdID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,ChEBIID,InChI,InChIKey,MSIAnnotationLevel
RNEG-001,"1,3,7-Trimethyluric acid",1,M-H,RNEG-001.1,176.94,2.949,209.06747,209.064334,209.070606,161.94,191.94,210.0752902,C8H10N4O3,-2.163,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0002123,,,,NA,C16361,71754,79437,691622,"InChI=1S/C8H10N4O3/c1-10-4-5(9-7(10)14)11(2)8(15)12(3)6(4)13/h1-3H3,(H,9,14)",BYXCFUMGEBZDDI-UHFFFAOYSA-N,1
RNEG-002,"1,7-Dimethyluric acid",1,M-H,RNEG-002.1,154.14,2.569,195.05182,195.0488942,195.0547458,139.14,169.14,196.0596401,C7H8N4O3,-1.1244,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0011103,,,,NA,C16356,82720,91611,68449,"InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)",NOFNCLGCUJJPKU-UHFFFAOYSA-N,1
RNEG-003,"2,6-Dihydroxybenzoic acid",1,M-H,RNEG-003.1,225.6,3.76,153.01878,153.0164847,153.0210753,210.6,240.6,154.0266087,C7H6O4,0.6644,Benzene and substituted derivatives,Benzoic acids and derivatives,Salicylic acids,HMDB0013676,,,,NA,C21298,8974,9338,68465,"InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)",AKEUNCKRJATALU-UHFFFAOYSA-N,1
RNEG-004,2-Hydroxy-2-methylbutyric acid,1,M-H,RNEG-004.1,146.88,2.448,117.05517,117.0534142,117.0569258,131.88,161.88,118.0629942,C5H10O3,-0.7823,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,HMDB0001987,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],LMFA01050389,NA,86129,95433,68454,"InChI=1S/C5H10O3/c1-3-5(2,8)4(6)7/h8H,3H2,1-2H3,(H,6,7)",MBIQENSCDNJOIY-UHFFFAOYSA-N,1
RNEG-005,Salicyluric acid,1,M-H,RNEG-005.1,263.28,4.388,194.04533,194.0424193,194.0482407,248.28,278.28,195.0531578,C9H9NO4,-0.2849,Benzene and substituted derivatives,Benzoic acids and derivatives,Hippuric acids,HMDB0000840,,,,NA,C07588,9835,10253,9008,"InChI=1S/C9H9NO4/c11-7-4-2-1-3-6(7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)",ONJSZLXSECQROL-UHFFFAOYSA-N,1
RNEG-006,"3,5-Dihydroxybenzoic acid",1,M-H,RNEG-006.1,141,2.35,153.01878,153.0164847,153.0210753,126,156,154.0266087,C7H6O4,0.6644,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,HMDB0013677,,,,NA,NA,7146,7424,39912,"InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)",UYEMGAFJOZZIFP-UHFFFAOYSA-N,1
RNEG-007,3-Methylglutaric acid,1,M-H,RNEG-007.1,159.72,2.662,145.05008,145.0479042,145.0522558,144.72,174.72,146.0579088,C6H10O4,-1.0081,Fatty Acyls,Fatty acids and conjugates,Methyl-branched fatty acids,HMDB0000752,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],LMFA01170117,NA,11781,12284,68566,"InChI=1S/C6H10O4/c1-4(2-5(7)8)3-6(9)10/h4H,2-3H2,1H3,(H,7,8)(H,9,10)",XJMMNTGIMDZPMU-UHFFFAOYSA-N,1
RNEG-008,Adipic acid,1,M-H,RNEG-008.1,155.46,2.591,145.05008,145.0479042,145.0522558,140.46,170.46,146.0579088,C6H10O4,-0.864,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,HMDB0000448,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],LMFA01170048,C06104,191,196,30832,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,1
RNEG-009,Azelaic acid,1,M-H,RNEG-009.1,328.86,5.481,187.09703,187.0942235,187.0998365,313.86,343.86,188.104859,C9H16O4,-0.4317,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,HMDB0000784,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],LMFA01170054,C08261,2179,2266,48131,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N,1
RNEG-010,Cholic acid | Ursocholic acid,1,M-H,RNEG-010.1,584.94,9.749,407.27975,407.2736408,407.2858592,569.94,599.94,408.2875744,C24H40O5,-0.4742,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",HMDB0000619 | HMDB0000917,Sterols [ST],Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",LMST04010001 | LMST04010088,C00695 | C17644,4573890 | 109088,221493 | 122340,16359 | 81240,"InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1 | InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19+,20+,22+,23+,24-/m1/s1",BHQCQFFYRZLCQQ-OELDTZBJSA-N | BHQCQFFYRZLCQQ-UTLSPDKDSA-N,1
