cpdID,cpdName,feature,ion,purpose,IonID,Commentsformanualrevision,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,measuredMZ,ppmError,npcStandardID,npcFeatureID,sn1,sn2,logPRDKit,logPALOGPS,logPChemAxon,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGPathway,KEGGID,chemspiderID,PubChemID,IUPAC,CAS,ChEBIID,InChI,InChIKey,confidenceScore,MSIAnnotationLevel,complexityScore,urine,plasma,serum,breastMilk,gastric,dueodenal,faecal,liver,originalMatrix,annotatedBy,validationFiles,ISOriginalFiles
RNEG-001,"1,3,7-Trimethyluric acid",1,M-H,primary,RNEG-001.1,,176.94,2.949,209.06747,209.064334,209.070606,161.94,191.94,210.0752902,C8H10N4O3,,,PC00001939,URNEG-06309,,,-2.163,,,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0002123,,,,NA,Xanthine Metabolism,C16361,71754,79437,"1,3,7-trimethyl-2,3,6,7,8,9-hexahydro-1H-purine-2,6,8-trione",,691622,"InChI=1S/C8H10N4O3/c1-10-4-5(9-7(10)14)11(2)8(15)12(3)6(4)13/h1-3H3,(H,9,14)",BYXCFUMGEBZDDI-UHFFFAOYSA-N,2a,1,1,X,,,,,,,,Urine,AA,AIRWAVE_RNEG_ToF03_U19W11_LTR;AIRWAVE_RNEG_ToF03_U19W23_LTR;AIRWAVE_RNEG_ToF03_U19W35_LTR;AIRWAVE_RNEG_ToF03_U19W12_SR;AIRWAVE_RNEG_ToF03_U19W24_SR;AIRWAVE_RNEG_ToF03_U19W36_SR,
RNEG-001,"1,3,7-Trimethyluric acid",2,[(M+1)-H],range,RNEG-001.2,,176.94,2.949,210.06996,210.066809,210.073111,161.94,191.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNEG-001,"1,3,7-Trimethyluric acid",3,[M-CH3-H],specificity,RNEG-001.3,,176.94,2.949,194.04399,194.0410793,194.0469007,161.94,191.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNEG-002,"1,7-Dimethyluric acid",1,M-H,primary,RNEG-002.1,,154.14,2.569,195.05182,195.0488942,195.0547458,139.14,169.14,196.0596401,C7H8N4O3,,,PC00001946,URNEG-05347,,,-1.1244,,,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0011103,,,,NA,Xanthine Metabolism,C16356,82720,91611,"1,7-dimethyl-2,3,6,7,8,9-hexahydro-1H-purine-2,6,8-trione",,68449,"InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)",NOFNCLGCUJJPKU-UHFFFAOYSA-N,2a,1,2,X,,,,,,,,Urine,AA,AIRWAVE_RNEG_ToF03_U19W11_LTR;AIRWAVE_RNEG_ToF03_U19W23_LTR;AIRWAVE_RNEG_ToF03_U19W35_LTR;AIRWAVE_RNEG_ToF03_U19W12_SR;AIRWAVE_RNEG_ToF03_U19W24_SR;AIRWAVE_RNEG_ToF03_U19W36_SR,
RNEG-002,"1,7-Dimethyluric acid",2,[(M+1)-H],range,RNEG-002.2,,154.14,2.569,196.05421,196.0512692,196.0571508,139.14,169.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNEG-002,"1,7-Dimethyluric acid",3,[M-CH3-H],specificity,RNEG-002.3,,154.14,2.569,180.02834,180.0256396,180.0310404,139.14,169.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNEG-003,"2,6-Dihydroxybenzoic acid",1,M-H,primary,RNEG-003.1,,225.6,3.76,153.01878,153.0164847,153.0210753,210.6,240.6,154.0266087,C7H6O4,,,PC00001333,URNEG-08761,,,0.6644,,,Benzene and substituted derivatives,Benzoic acids and derivatives,Salicylic acids,HMDB0013676,,,,NA,Benzoate degradation,C21298,8974,9338,"2,6-dihydroxybenzoic acid",,68465,"InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)",AKEUNCKRJATALU-UHFFFAOYSA-N,2a,1,2,X,,,,,,,,Urine,AA,AIRWAVE_RNEG_ToF03_U19W11_LTR;AIRWAVE_RNEG_ToF03_U19W23_LTR;AIRWAVE_RNEG_ToF03_U19W35_LTR;AIRWAVE_RNEG_ToF03_U19W12_SR;AIRWAVE_RNEG_ToF03_U19W24_SR;AIRWAVE_RNEG_ToF03_U19W36_SR,
RNEG-003,"2,6-Dihydroxybenzoic acid",2,[(M+1)-H],range,RNEG-003.2,,225.6,3.76,154.02218,154.0198697,154.0244903,210.6,240.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNEG-003,"2,6-Dihydroxybenzoic acid",3,[M-COO-H],specificity,RNEG-003.3,,225.6,3.76,109.02895,109.0273146,109.0305854,210.6,240.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNEG-004,2-Hydroxy-2-methylbutyric acid,1,M-H,primary,RNEG-004.1,isomers annotated - see RNEG-128 and RNEG-129,146.88,2.448,117.05517,117.0534142,117.0569258,131.88,161.88,118.0629942,C5H10O3,,,PC00002115,URNEG-05070,,,-0.7823,,,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,HMDB0001987,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],LMFA01050389,NA,NA,86129,95433,2-hydroxy-2-methylbutanoic acid,,68454,"InChI=1S/C5H10O3/c1-3-5(2,8)4(6)7/h8H,3H2,1-2H3,(H,6,7)",MBIQENSCDNJOIY-UHFFFAOYSA-N,2a,1,4,X,,,,,,,,Urine,AA,AIRWAVE_RNEG_ToF03_U19W11_LTR;AIRWAVE_RNEG_ToF03_U19W23_LTR;AIRWAVE_RNEG_ToF03_U19W35_LTR;AIRWAVE_RNEG_ToF03_U19W12_SR;AIRWAVE_RNEG_ToF03_U19W24_SR;AIRWAVE_RNEG_ToF03_U19W36_SR,
RNEG-004,2-Hydroxy-2-methylbutyric acid,2,[(M+1)-H],range,RNEG-004.2,,146.88,2.448,118.0586,118.0568291,118.0603709,131.88,161.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNEG-004,2-Hydroxy-2-methylbutyric acid,3,[M-H+HCOONa],specificity,RNEG-004.3,,146.88,2.448,185.04259,185.0398144,185.0453656,131.88,161.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
