cpdID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,ChEBIID,InChI,InChIKey,MSIAnnotationLevel
RPOS-001,Xanthurenic acid,1,M+H,RPOS-001.1,167.88,2.798,206.04533,206.0422393,206.0484207,152.88,182.88,205.0375077,C10H7NO4,1.0896,Quinolines and derivatives,Quinoline carboxylic acids,Quinoline carboxylic acids,HMDB0000881,,,,NA,C02470,5497,5699,10072,"InChI=1S/C10H7NO4/c12-7-3-1-2-5-8(13)4-6(10(14)15)11-9(5)7/h1-4,12H,(H,11,13)(H,14,15)",FBZONXHGGPHHIY-UHFFFAOYSA-N,1
RPOS-002,Urocanic acid,1,M+H,RPOS-002.1,57.54,0.959,139.05075,139.0486642,139.0528358,42.54,72.54,138.0429274,C6H6N2O2,-0.4967,Azoles,Imidazoles,Imidazolyl carboxylic acids and derivatives,HMDB0000301,,,,NA,C00785,643824,1178,30817,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+",LOIYMIARKYCTBW-OWOJBTEDSA-N,1
RPOS-003,Uric acid,1,M+H,RPOS-003.1,67.5,1.125,169.03617,169.0336345,169.0387055,52.5,82.5,168.02834,C5H4N4O3,0.0586,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0000289,,,,NA,C00366,1142,1175,17775,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)",LEHOTFFKMJEONL-UHFFFAOYSA-N,1
RPOS-004,Trigonelline,1,M+H,RPOS-004.1,37.26,0.621,138.0555,138.0534292,138.0575708,22.26,52.26,137.0476785,C7H7NO2,-1.9864,NA,NA,Alkaloids and derivatives,HMDB0000875,,,,NA,C01004,5369,5570,18123,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",WWNNZCOKKKDOPX-UHFFFAOYSA-N,1
RPOS-005,Theobromine,1,M+H,RPOS-005.1,145.14,2.419,181.07255,181.0698339,181.0752661,130.14,160.14,180.0647255,C7H8N4O2,-1.2207,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0002825,,,,NA,C07480,5236,5429,28946,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)",YAPQBXQYLJRXSA-UHFFFAOYSA-N,1
RPOS-006,S-Adenosylhomocysteine,1,M+H,RPOS-006.1,84.24,1.404,385.12941,385.1236331,385.1351869,69.24,99.24,384.1215885,C14H20N6O5S,-3.6555,5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,5'-deoxy-5'-thionucleosides,HMDB0000939,,,,NA,C00021,388301,439155,16680,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",ZJUKTBDSGOFHSH-WFMPWKQPSA-N,1
RPOS-007,Pyridoxine,1,M+H,RPOS-007.1,75.96,1.266,170.08172,170.0791688,170.0842712,60.96,90.96,169.0738932,C8H11NO3,-0.10068,Pyridines and derivatives,Pyridoxines,Pyridoxines,HMDB0000239,,,,NA,C00314,1025,1054,16709,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",LXNHXLLTXMVWPM-UHFFFAOYSA-N,1
RPOS-008,Pseudouridine,1,M+H,RPOS-008.1,56.94,0.949,245.07736,245.0736838,245.0810362,41.94,71.94,244.0695361,C9H12N2O6,-1.4807,Nucleoside and nucleotide analogues,,Nucleoside and nucleotide analogues,HMDB0000767,,,,NA,C02067,14319,15047,17802,"InChI=1S/C9H12N2O6/c12-2-4-5(13)6(14)7(17-4)3-1-10-9(16)11-8(3)15/h1,4-7,12-14H,2H2,(H2,10,11,15,16)/t4-,5-,6-,7+/m1/s1",PTJWIQPHWPFNBW-GBNDHIKLSA-N,1
RPOS-009,L-prolyl-L-proline,1,M+H,RPOS-009.1,85.98,1.433,213.12392,213.1207231,213.1271169,70.98,100.98,212.1160924,C10H16N2O3,-2.4202,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,HMDB0011180,,,,NA,NA,9797341,11622593,73646,"InChI=1S/C10H16N2O3/c13-9(7-3-1-5-11-7)12-6-2-4-8(12)10(14)15/h7-8,11H,1-6H2,(H,14,15)/t7-,8-/m0/s1",RWCOTTLHDJWHRS-YUMQZZPRSA-N,1
RPOS-010,Propionylcarnitine CAR(3:0),1,M+H,RPOS-010.1,98.28,1.638,218.13923,218.1359579,218.1425021,83.28,113.28,217.1314081,C10H19NO4,-3.1826,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000824,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070005,C03017,96904,107738,53210,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/t8-/m1/s1",UFAHZIUFPNSHSL-MRVPVSSYSA-N,1
