cpdID,cpdName,feature,ion,purpose,IonID,Commentsformanualrevision,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,measuredMZ,ppmError,npcStandardID,npcFeatureID,sn1,sn2,logPRDKit,logPALOGPS,logPChemAxon,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGPathway,KEGGID,chemspiderID,PubChemID,IUPAC,CAS,ChEBIID,InChI,InChIKey,confidenceScore,MSIAnnotationLevel,complexityScore,urine,plasma,serum,breastMilk,gastric,dueodenal,faecal,liver,originalMatrix,annotatedBy,validationFiles,ISOriginalFiles
RPOS-001,Xanthurenic acid,1,M+H,primary,RPOS-001.1,,167.88,2.798,206.04533,206.0422393,206.0484207,152.88,182.88,205.0375077,C10H7NO4,,,IROA_P05W10,URPOS-02979,,,1.0896,,,Quinolines and derivatives,Quinoline carboxylic acids,Quinoline carboxylic acids,HMDB0000881,,,,,Tryptophan Metabolism,C02470,5497,5699,"4,8-dihydroxyquinoline-2-carboxylic acid",59-00-7,10072,"InChI=1S/C10H7NO4/c12-7-3-1-2-5-8(13)4-6(10(14)15)11-9(5)7/h1-4,12H,(H,11,13)(H,14,15)",FBZONXHGGPHHIY-UHFFFAOYSA-N,2a,1,2,X,,,,,,,,Urine,AA,AIRWAVE_RPOS_ToF04_U19W11_LTR;AIRWAVE_RPOS_ToF04_U19W23_LTR;AIRWAVE_RPOS_ToF04_U19W35_LTR;AIRWAVE_RPOS_ToF04_U19W12_SR;AIRWAVE_RPOS_ToF04_U19W24_SR;AIRWAVE_RPOS_ToF04_U19W36_SR,IS-14:32.28;IS-18:34.44;IS-19:33.29;IS-20:164.79;IS-21:51.37;IS-22:124.83;IS-23:212.59;IS-24:86.69;IS-34:91.04
RPOS-001,Xanthurenic acid,2,[(M+1)+H],range,RPOS-001.2,,167.88,2.798,207.04852,207.0454143,207.0516257,152.88,182.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPOS-001,Xanthurenic acid,3,[M-CO+H],specificity,RPOS-001.3,,167.88,2.798,178.05042,178.0477492,178.0530908,152.88,182.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPOS-002,Urocanic acid,1,M+H,primary,RPOS-002.1,,57.54,0.959,139.05075,139.0486642,139.0528358,42.54,72.54,138.0429274,C6H6N2O2,,,IROA_P02W40,URPOS-00907,,,-0.4967,,,Azoles,Imidazoles,Imidazolyl carboxylic acids and derivatives,HMDB0000301,,,,,Histidine Metabolism,C00785,643824,1178,(2E)-3-(1H-imidazol-4-yl)prop-2-enoic acid,104-98-3,30817,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+",LOIYMIARKYCTBW-OWOJBTEDSA-N,2a,1,3,X,,,,,,,,Urine,AA,AIRWAVE_RPOS_ToF04_U19W11_LTR;AIRWAVE_RPOS_ToF04_U19W23_LTR;AIRWAVE_RPOS_ToF04_U19W35_LTR;AIRWAVE_RPOS_ToF04_U19W12_SR;AIRWAVE_RPOS_ToF04_U19W24_SR;AIRWAVE_RPOS_ToF04_U19W36_SR,IS-14:32.28;IS-18:34.44;IS-19:33.29;IS-20:164.79;IS-21:51.37;IS-22:124.83;IS-23:212.59;IS-24:86.69;IS-34:91.04
RPOS-002,Urocanic acid,2,[(M+1)+H],range,RPOS-002.2,,57.54,0.959,140.05352,140.0514192,140.0556208,42.54,72.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPOS-002,Urocanic acid,3,[M-CO-H2O+H],specificity,RPOS-002.3,,57.54,0.959,93.04527,93.04387432,93.04666568,42.54,72.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPOS-003,Uric acid,1,M+H,primary,RPOS-003.1,,67.5,1.125,169.03617,169.0336345,169.0387055,52.5,82.5,168.02834,C5H4N4O3,,,BioLog_PM3W75,URPOS-01110,,,0.0586,,,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0000289,,,,,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",C00366,1142,1175,"2,3,6,7,8,9-hexahydro-1H-purine-2,6,8-trione",69-93-2,17775,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)",LEHOTFFKMJEONL-UHFFFAOYSA-N,2a,1,1,X,,,,,,,,Urine,AA,AIRWAVE_RPOS_ToF04_U19W11_LTR;AIRWAVE_RPOS_ToF04_U19W23_LTR;AIRWAVE_RPOS_ToF04_U19W35_LTR;AIRWAVE_RPOS_ToF04_U19W12_SR;AIRWAVE_RPOS_ToF04_U19W24_SR;AIRWAVE_RPOS_ToF04_U19W36_SR,IS-14:32.28;IS-18:34.44;IS-19:33.29;IS-20:164.79;IS-21:51.37;IS-22:124.83;IS-23:212.59;IS-24:86.69;IS-34:91.04
RPOS-003,Uric acid,2,[(M+1)+H],range,RPOS-003.2,,67.5,1.125,170.03825,170.0356994,170.0408006,52.5,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPOS-003,Uric acid,3,[M-NH3+H],specificity,RPOS-003.3,,67.5,1.125,152.00962,152.0073399,152.0119001,52.5,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPOS-004,Trigonelline,1,M+H,primary,RPOS-004.1,can be saturated,37.26,0.621,138.0555,138.0534292,138.0575708,22.26,52.26,137.0476785,C7H7NO2,,,PC00001172; IROA_P04w63,URPOS-00364,,,-1.9864,,,NA,NA,Alkaloids and derivatives,HMDB0000875,,,,,Nicotinate and Nicotinamide Metabolism,C01004,5369,5570,1-methylpyridin-1-ium-3-carboxylate,535-83-1,18123,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",WWNNZCOKKKDOPX-UHFFFAOYSA-N,2a,1,1,X,,,,,,,,Urine,AA,AIRWAVE_RPOS_ToF04_U19W11_LTR;AIRWAVE_RPOS_ToF04_U19W23_LTR;AIRWAVE_RPOS_ToF04_U19W35_LTR;AIRWAVE_RPOS_ToF04_U19W12_SR;AIRWAVE_RPOS_ToF04_U19W24_SR;AIRWAVE_RPOS_ToF04_U19W36_SR,IS-14:32.28;IS-18:34.44;IS-19:33.29;IS-20:164.79;IS-21:51.37;IS-22:124.83;IS-23:212.59;IS-24:86.69;IS-34:91.04
